week,soldout,kcal,remarks,event,payday,weather,precipitation,temperature,kcal_isna,remarks_isna,event_isna,holiday,payday_before1,payday_after1,weather_before1,sale_before1,moving_avg,quarter,month,day,quarter_y_maen,name,y
0,0,398.9705882352941,0,0,0,0,0,19.8,1,1,1,2,0,0,0.0,101.0,86.6231884057971,4,131.66666666666666,0.5666666666666667,134.32142857142858,76,90
3,1,406.7142857142857,0,0,0,0,0,17.0,1,1,1,0,0,0,0.0,118.0,86.6231884057971,4,131.66666666666666,0.6,134.32142857142858,89,101
2,0,406.6216216216216,0,0,0,0,0,15.5,1,1,1,0,0,0,0.0,120.0,86.6231884057971,4,122.125,0.6333333333333333,134.32142857142858,109,118
1,1,403.5405405405405,0,0,0,0,0,15.2,1,1,1,0,0,0,0.0,130.0,86.6231884057971,4,131.66666666666666,0.6666666666666666,134.32142857142858,116,120
4,1,406.7826086956522,0,0,0,0,0,16.1,1,1,1,1,0,0,1.0,135.0,111.8,4,120.14285714285714,0.7,134.32142857142858,53,130
0,1,398.9705882352941,0,0,0,1,0,14.6,1,1,1,2,0,0,0.0,145.0,120.8,4,120.14285714285714,0.8,134.32142857142858,143,135
3,0,406.7142857142857,0,0,0,0,0,17.9,1,1,1,0,0,0,0.0,140.0,129.6,4,131.66666666666666,0.8333333333333334,134.32142857142858,119,145
2,1,406.6216216216216,0,0,0,0,0,14.7,1,1,1,0,0,0,1.0,151.0,134.0,4,120.14285714285714,0.8666666666666667,134.32142857142858,60,140
1,0,403.5405405405405,0,0,0,1,0,17.7,1,1,1,0,0,0,0.0,116.0,140.2,4,122.125,0.9,134.32142857142858,46,151
4,0,406.7826086956522,0,0,0,0,0,12.1,1,1,1,1,0,0,0.0,151.0,137.4,4,125.55555555555556,0.9333333333333333,134.32142857142858,30,116
0,1,398.9705882352941,0,0,0,0,0,13.8,1,1,1,2,0,0,0.0,153.0,140.6,4,145.41666666666666,0.03333333333333333,134.32142857142858,67,151
3,1,406.7142857142857,0,0,0,0,0,13.9,1,1,1,0,0,0,0.0,151.0,142.2,4,134.5,0.06666666666666667,134.32142857142858,79,153
2,1,406.6216216216216,0,0,0,0,0,13.5,1,1,1,0,0,0,0.0,171.0,144.4,4,139.08333333333334,0.1,134.32142857142858,23,151
1,0,403.5405405405405,0,0,0,0,0,13.8,1,1,1,0,0,0,0.0,134.0,148.4,4,134.5,0.13333333333333333,134.32142857142858,138,171
4,0,406.7826086956522,0,0,0,0,0,14.9,1,1,1,1,0,0,1.0,165.0,152.0,4,145.41666666666666,0.16666666666666666,134.32142857142858,90,134
0,1,398.9705882352941,0,0,0,1,0,9.1,1,1,1,2,1,0,1.0,155.0,154.8,4,139.08333333333334,0.26666666666666666,134.32142857142858,49,165
3,0,406.7142857142857,0,0,1,1,0.5,7.1,1,1,1,0,0,0,1.0,157.0,155.2,4,139.08333333333334,0.3,134.32142857142858,10,155
2,0,406.6216216216216,0,0,0,1,0,11.0,1,1,1,0,0,1,0.0,109.0,156.4,4,134.5,0.3333333333333333,134.32142857142858,74,157
1,0,403.5405405405405,0,0,0,0,0,12.3,1,1,1,0,0,0,0.0,111.0,144.0,4,139.08333333333334,0.36666666666666664,134.32142857142858,113,109
4,1,406.7826086956522,0,0,0,0,0,13.9,1,1,1,1,0,0,0.0,160.0,139.4,4,145.41666666666666,0.4,134.32142857142858,31,111
0,0,398.9705882352941,0,0,0,0,0,11.3,1,1,1,2,0,0,1.0,145.0,138.4,4,145.41666666666666,0.5,134.32142857142858,13,160
3,0,406.7142857142857,0,2,0,1,0,10.8,1,1,0,0,0,0,1.0,145.0,136.4,4,140.5,0.5333333333333333,134.32142857142858,89,145
2,1,406.6216216216216,0,0,0,1,0,7.8,1,1,1,0,0,0,2.0,151.0,134.0,4,139.08333333333334,0.5666666666666667,134.32142857142858,83,145
1,0,403.5405405405405,0,0,0,2,0.5,6.8,1,1,1,0,0,0,1.0,134.0,142.4,4,134.5,0.6,134.32142857142858,64,151
4,1,406.7826086956522,0,0,0,1,0,8.4,1,1,1,1,0,0,0.0,122.0,147.0,4,145.41666666666666,0.6333333333333333,134.32142857142858,146,134
3,0,406.7142857142857,0,0,0,0,0,11.5,1,1,1,0,0,0,0.0,121.0,139.4,4,140.5,0.7666666666666667,134.32142857142858,3,122
2,1,406.6216216216216,0,0,0,0,0,8.0,1,1,1,0,0,0,1.0,80.0,134.6,4,139.08333333333334,0.8,134.32142857142858,84,121
1,0,403.5405405405405,0,0,0,1,0,7.3,1,1,1,0,0,0,0.0,131.0,121.6,4,145.41666666666666,0.8333333333333334,134.32142857142858,132,80
3,0,404.0,0,0,0,0,0,7.3,0,1,1,0,0,0,1.0,128.0,117.6,1,113.3,0.2,103.6842105263158,20,131
2,0,462.0,0,0,0,1,0,9.8,0,1,1,0,0,0,1.0,129.0,116.4,1,113.3,0.23333333333333334,103.6842105263158,128,128
1,1,435.0,0,0,0,1,0,10.9,0,1,1,0,1,0,0.0,87.0,117.8,1,115.46666666666667,0.26666666666666666,103.6842105263158,152,129
4,0,440.0,0,0,1,0,0,5.1,0,1,1,1,0,0,0.0,129.0,111.0,1,113.3,0.3,103.6842105263158,90,87
3,1,376.0,0,0,0,0,0,5.8,0,1,1,0,0,1,1.0,134.0,120.8,1,113.3,0.43333333333333335,103.6842105263158,149,129
2,0,450.0,0,0,0,1,0,2.9,0,1,1,0,0,0,0.0,107.0,121.4,1,115.28571428571429,0.4666666666666667,103.6842105263158,5,134
1,0,415.0,0,0,0,0,0,7.0,0,1,1,0,0,0,0.0,85.0,117.2,1,113.3,0.5,103.6842105263158,17,107
4,1,430.0,0,2,0,0,0,7.8,0,1,0,1,0,0,0.0,126.0,108.4,1,116.2,0.5333333333333333,103.6842105263158,83,85
0,1,375.0,0,0,0,0,0,6.5,0,1,1,2,0,0,0.0,129.0,116.2,1,113.3,0.6333333333333333,103.6842105263158,29,126
3,1,447.0,0,0,0,0,0,10.4,0,1,1,0,0,0,0.0,126.0,116.2,1,115.28571428571429,0.6666666666666666,103.6842105263158,25,129
2,1,426.0,0,0,0,0,0,7.4,0,1,1,0,0,0,0.0,107.0,114.6,1,113.3,0.7,103.6842105263158,86,126
1,0,400.0,0,0,0,0,0,8.5,0,1,1,0,0,0,0.0,92.0,114.6,1,113.3,0.7333333333333333,103.6842105263158,132,107
4,1,418.0,6,0,0,0,0,10.1,0,0,1,1,0,0,0.0,126.0,116.0,1,115.46666666666667,0.7666666666666667,103.6842105263158,141,92
0,1,415.0,0,0,0,0,0,5.1,0,1,1,2,0,0,0.0,120.0,116.0,1,116.2,0.8666666666666667,103.6842105263158,41,126
3,0,445.0,0,0,0,0,0,12.6,0,1,1,0,0,0,0.0,121.0,114.2,1,116.2,0.9,103.6842105263158,94,120
2,1,450.0,0,0,0,0,0,10.3,0,1,1,0,0,0,1.0,105.0,113.2,1,115.46666666666667,0.9333333333333333,103.6842105263158,45,121
1,1,448.0,0,0,0,1,0,15.3,0,1,1,0,0,0,0.0,92.0,112.8,1,115.28571428571429,0.9666666666666667,103.6842105263158,144,105
4,1,460.0,0,0,0,0,0,14.1,0,1,1,1,0,0,0.0,139.0,112.8,1,115.28571428571429,1.0,103.6842105263158,68,92
0,1,445.0,0,0,0,0,0,15.9,0,1,1,2,0,0,2.0,121.0,115.4,1,103.45454545454545,0.06666666666666667,103.6842105263158,47,139
3,1,430.0,0,0,0,2,0,3.8,0,1,1,0,0,0,0.0,126.0,115.6,1,109.9375,0.1,103.6842105263158,4,121
2,1,420.0,0,0,0,0,0,3.0,0,1,1,0,0,0,1.0,111.0,116.6,1,109.92857142857143,0.13333333333333333,103.6842105263158,140,126
1,1,435.0,0,0,0,1,0,4.2,0,1,1,0,0,0,0.0,91.0,117.8,1,109.92857142857143,0.16666666666666666,103.6842105263158,90,111
4,1,425.0,0,0,0,0,0,5.5,0,1,1,1,1,0,1.0,137.0,117.6,1,109.92857142857143,0.2,103.6842105263158,59,91
0,0,423.0,0,0,1,1,0,7.8,0,1,1,2,0,0,1.0,111.0,117.2,1,103.45454545454545,0.3,103.6842105263158,145,137
2,0,415.0,0,0,0,1,0,6.3,0,1,1,0,0,1,1.0,84.0,115.2,1,106.9375,0.36666666666666664,103.6842105263158,9,111
1,0,438.0,0,0,0,1,0,6.4,0,1,1,0,0,0,2.0,86.0,106.8,1,109.9375,0.4,103.6842105263158,83,84
4,1,432.0,0,0,0,2,0.5,1.2,0,1,1,1,0,0,0.0,137.0,101.8,1,103.45454545454545,0.43333333333333335,103.6842105263158,72,86
0,1,416.0,0,0,0,0,0,11.6,0,1,1,2,0,0,0.0,99.0,111.0,1,106.9375,0.5333333333333333,103.6842105263158,41,137
3,0,426.0,0,0,0,0,0,6.8,0,1,1,0,0,0,1.0,113.0,103.4,1,103.45454545454545,0.5666666666666667,103.6842105263158,93,99
2,0,405.0,0,0,0,1,0,7.3,0,1,1,0,0,0,1.0,85.0,103.8,1,109.92857142857143,0.6,103.6842105263158,50,113
1,1,426.0,0,0,0,1,0,5.4,0,1,1,0,0,0,0.0,113.0,104.0,1,109.9375,0.6333333333333333,103.6842105263158,31,85
4,0,410.0,5,2,0,0,0,8.5,0,0,0,1,0,0,1.0,129.0,109.4,1,103.45454545454545,0.6666666666666666,103.6842105263158,133,113
0,1,408.0,0,0,0,1,0,6.6,0,1,1,2,0,0,0.0,104.0,107.8,1,103.45454545454545,0.7666666666666667,103.6842105263158,63,129
3,0,396.0,0,0,0,0,0,10.5,0,1,1,0,0,0,0.0,104.0,108.8,1,103.45454545454545,0.8,103.6842105263158,67,104
2,0,384.0,0,0,0,0,0,11.5,0,1,1,0,0,0,2.0,90.0,107.0,1,103.45454545454545,0.8333333333333334,103.6842105263158,152,104
1,1,436.0,0,0,0,2,0,8.5,0,1,1,0,0,0,0.0,69.0,108.0,1,106.9375,0.8666666666666667,103.6842105263158,110,90
4,0,428.0,0,0,0,0,0,17.7,0,1,1,1,0,0,1.0,131.0,99.2,1,109.92857142857143,0.9,103.6842105263158,85,69
0,0,407.0,0,0,0,1,0,7.8,0,1,1,2,0,0,0.0,100.0,99.6,1,88.13333333333334,0.06666666666666667,103.6842105263158,47,131
3,1,413.0,0,0,0,0,0,8.3,0,1,1,0,0,0,2.0,110.0,98.8,1,86.85714285714286,0.1,103.6842105263158,83,100
2,1,393.0,0,0,0,2,1.5,6.1,0,1,1,0,0,0,0.0,77.0,100.0,1,92.76923076923077,0.13333333333333333,103.6842105263158,69,110
1,0,409.0,0,0,0,0,0,6.7,0,1,1,0,0,0,0.0,73.0,97.4,1,88.13333333333334,0.16666666666666666,103.6842105263158,35,77
4,1,396.0,0,0,0,0,0,7.0,0,1,1,1,1,0,1.0,123.0,98.2,1,88.13333333333334,0.2,103.6842105263158,60,73
0,0,385.0,0,0,1,1,0,7.6,0,1,1,2,0,0,0.0,89.0,96.6,1,92.76923076923077,0.3,103.6842105263158,92,123
3,0,397.0,0,0,0,0,0,8.7,0,1,1,0,0,1,0.0,68.0,94.4,1,86.85714285714286,0.3333333333333333,103.6842105263158,113,89
2,0,370.0,0,0,0,0,0,14.8,0,1,1,0,0,0,2.0,80.0,86.0,1,92.76923076923077,0.36666666666666664,103.6842105263158,54,68
1,1,372.0,0,0,0,2,0.5,15.2,0,1,1,0,0,0,1.0,70.0,86.6,1,89.83333333333333,0.4,103.6842105263158,90,80
4,1,360.0,0,2,0,1,0,11.5,0,1,0,1,0,0,0.0,129.0,86.0,1,86.85714285714286,0.43333333333333335,103.6842105263158,19,70
0,0,382.0,0,0,0,0,0,14.0,0,1,1,2,0,0,0.0,90.0,87.2,1,86.85714285714286,0.5333333333333333,103.6842105263158,145,129
3,1,400.0,0,0,0,0,0,18.9,0,1,1,0,0,0,1.0,72.0,87.4,1,89.83333333333333,0.5666666666666667,103.6842105263158,44,90
2,1,392.0,0,0,0,1,0,12.6,0,1,1,0,0,0,2.0,100.0,88.2,1,92.76923076923077,0.6,103.6842105263158,131,72
1,1,372.0,0,1,0,2,0.5,7.5,0,1,0,0,0,0,0.0,102.0,92.2,1,88.13333333333334,0.6333333333333333,103.6842105263158,151,100
0,0,350.0,0,0,0,0,0,17.4,0,1,1,2,0,0,0.0,77.0,98.6,1,92.76923076923077,0.7666666666666667,103.6842105263158,67,102
3,0,407.0,0,0,0,0,0,18.9,0,1,1,0,0,0,1.0,51.0,88.2,1,86.85714285714286,0.8,103.6842105263158,85,77
2,0,392.0,0,0,0,1,0,18.7,0,1,1,0,0,0,1.0,55.0,80.4,1,92.76923076923077,0.8333333333333334,103.6842105263158,115,51
1,1,315.0,0,0,0,1,1.5,12.4,0,1,1,0,0,0,0.0,106.0,77.0,1,92.76923076923077,0.8666666666666667,103.6842105263158,72,55
4,0,406.7826086956522,1,0,0,0,0,18.5,1,0,1,1,0,0,0.0,84.0,78.2,1,86.85714285714286,0.9,103.6842105263158,22,106
0,0,349.0,0,0,0,0,0,17.5,0,1,1,2,0,0,1.0,125.0,74.6,1,88.13333333333334,1.0,103.6842105263158,135,84
3,1,377.0,0,0,0,1,0,16.1,0,1,1,0,0,0,1.0,99.0,84.2,2,83.25,0.0,75.7741935483871,69,125
2,0,380.0,0,0,0,1,0,18.2,0,1,1,0,0,0,2.0,100.0,93.8,2,89.66666666666667,0.03333333333333333,75.7741935483871,113,99
1,1,390.0,0,0,0,2,1,14.3,0,1,1,0,0,0,0.0,90.0,102.8,2,83.6470588235294,0.06666666666666667,75.7741935483871,132,100
4,1,350.0,0,0,0,0,0,17.8,0,1,1,1,0,0,0.0,107.0,99.6,2,83.6470588235294,0.1,75.7741935483871,81,90
0,0,387.0,0,0,0,0,0,13.8,0,1,1,2,0,0,0.0,96.0,104.2,2,86.15789473684211,0.2,75.7741935483871,134,107
3,1,353.0,0,0,0,0,0,20.1,0,1,1,0,0,0,0.0,88.0,98.4,2,89.66666666666667,0.23333333333333334,75.7741935483871,114,96
2,1,376.0,0,0,0,0,0,19.0,0,1,1,0,1,0,0.0,87.0,96.2,2,83.25,0.26666666666666666,75.7741935483871,135,88
1,0,362.0,0,0,1,0,0,21.3,0,1,1,0,0,0,0.0,128.0,93.6,2,89.66666666666667,0.3,75.7741935483871,145,87
4,1,406.7826086956522,1,0,0,0,0,16.5,1,0,1,1,0,1,0.0,92.0,101.2,2,83.25,0.3333333333333333,75.7741935483871,34,128
0,0,340.0,0,0,0,0,0,16.4,0,1,1,2,0,0,0.0,82.0,98.2,2,83.25,0.43333333333333335,75.7741935483871,57,92
3,0,370.0,0,0,0,0,0,19.7,0,1,1,0,0,0,1.0,57.0,95.4,2,83.25,0.4666666666666667,75.7741935483871,65,82
2,0,330.0,0,0,0,1,0,21.5,0,1,1,0,0,0,0.0,57.0,89.2,2,89.66666666666667,0.5,75.7741935483871,17,57
1,0,333.0,0,0,0,0,0,20.1,0,1,1,0,0,0,1.0,56.0,83.2,2,86.15789473684211,0.5333333333333333,75.7741935483871,100,57
4,1,325.0,0,2,0,1,0,11.4,0,1,0,1,0,0,1.0,109.0,68.8,2,83.25,0.5666666666666667,75.7741935483871,142,56
0,0,375.0,0,1,0,1,0,16.4,0,1,0,2,0,0,1.0,78.0,72.2,2,83.6470588235294,0.6666666666666666,75.7741935483871,104,109
3,1,382.0,0,0,0,1,0,18.8,0,1,1,0,0,0,0.0,63.0,71.4,2,83.25,0.7,75.7741935483871,67,78
2,0,340.0,0,0,0,0,0,19.4,0,1,1,0,0,0,0.0,56.0,72.6,2,89.66666666666667,0.7333333333333333,75.7741935483871,85,63
1,1,360.0,0,0,0,0,0,19.9,0,1,1,0,0,0,0.0,80.0,72.4,2,83.25,0.7666666666666667,75.7741935483871,150,56
4,0,406.7826086956522,1,0,0,0,0,20.8,1,0,1,1,0,0,0.0,54.0,77.2,2,83.6470588235294,0.8,75.7741935483871,73,80
0,0,342.0,0,0,0,0,0,22.7,0,1,1,2,0,0,2.0,97.0,66.2,2,89.66666666666667,0.9,75.7741935483871,31,54
2,1,368.0,0,0,0,2,0.5,17.5,0,1,1,0,0,0,0.0,64.0,70.0,2,83.25,0.9666666666666667,75.7741935483871,124,97
1,0,415.0,0,0,0,0,0,24.0,0,1,1,0,0,0,0.0,47.0,70.2,2,79.5,0.0,75.7741935483871,66,64
4,0,420.0,0,0,0,0,0,23.3,0,1,1,1,0,0,0.0,88.0,68.4,2,79.5,0.03333333333333333,75.7741935483871,148,47
2,1,415.0,0,0,0,0,0,18.9,0,1,1,0,0,0,1.0,59.0,70.0,2,68.57142857142857,0.2,75.7741935483871,113,88
1,0,405.0,0,0,0,1,0,21.0,0,1,1,0,1,0,0.0,58.0,71.0,2,79.5,0.23333333333333334,75.7741935483871,69,59
4,1,434.0,0,0,1,0,0,23.4,0,1,1,1,0,0,1.0,73.0,63.2,2,79.5,0.26666666666666666,75.7741935483871,87,58
0,0,400.0,0,0,0,1,0,22.7,0,1,1,2,0,1,2.0,70.0,65.0,2,79.5,0.36666666666666664,75.7741935483871,2,73
3,1,428.0,0,0,0,2,0,18.6,0,1,1,0,0,0,1.0,64.0,69.6,2,79.5,0.4,75.7741935483871,111,70
2,1,430.0,0,0,0,1,0,26.0,0,1,1,0,0,0,1.0,58.0,64.8,2,76.66666666666667,0.43333333333333335,75.7741935483871,69,64
1,1,403.0,0,0,0,1,0,19.3,0,1,1,0,0,0,0.0,126.0,64.6,2,72.29411764705883,0.4666666666666667,75.7741935483871,31,58
4,0,406.7826086956522,1,2,0,0,0,23.8,1,0,0,1,0,0,1.0,70.0,78.2,2,72.29411764705883,0.5,75.7741935483871,61,126
0,1,406.0,0,1,0,1,0,22.8,0,1,0,2,0,0,1.0,71.0,77.6,2,68.57142857142857,0.6,75.7741935483871,126,70
3,0,425.0,0,0,0,1,0,23.9,0,1,1,0,0,0,2.0,104.0,77.8,2,72.29411764705883,0.6333333333333333,75.7741935483871,142,71
2,1,430.0,0,0,0,2,6,17.4,0,1,1,0,0,0,2.0,54.0,85.8,2,68.57142857142857,0.6666666666666666,75.7741935483871,42,104
1,1,428.0,4,0,0,2,0,19.0,0,0,1,0,0,0,1.0,65.0,85.0,2,76.66666666666667,0.7,75.7741935483871,26,54
4,0,400.0,0,0,0,1,0,19.8,0,1,1,1,0,0,1.0,77.0,72.8,2,76.66666666666667,0.7333333333333333,75.7741935483871,102,65
0,1,430.0,0,0,0,1,0,23.9,0,1,1,2,0,0,1.0,79.0,74.2,2,76.66666666666667,0.8333333333333334,75.7741935483871,138,77
3,0,423.0,0,0,0,1,0,23.7,0,1,1,0,0,0,0.0,74.0,75.8,2,68.57142857142857,0.8666666666666667,75.7741935483871,101,79
2,1,414.0,0,0,0,0,0,25.7,0,1,1,0,0,0,0.0,64.0,69.8,2,76.66666666666667,0.9,75.7741935483871,145,74
