week,soldout,kcal,remarks,event,payday,weather,precipitation,temperature,kcal_isna,remarks_isna,event_isna,holiday,payday_before1,payday_after1,weather_before1,sale_before1,moving_avg,quarter,month,day,y
0,0,398.9705882352941,0,0,0,0,0,19.8,1,1,1,2,0,0,0.0,101.0,86.6231884057971,4,131.66666666666666,0.5666666666666667,90
3,1,406.7142857142857,0,0,0,0,0,17.0,1,1,1,0,0,0,0.0,118.0,86.6231884057971,4,131.66666666666666,0.6,101
2,0,406.6216216216216,0,0,0,0,0,15.5,1,1,1,0,0,0,0.0,120.0,86.6231884057971,4,122.125,0.6333333333333333,118
1,1,403.5405405405405,0,0,0,0,0,15.2,1,1,1,0,0,0,0.0,130.0,86.6231884057971,4,131.66666666666666,0.6666666666666666,120
4,1,406.7826086956522,0,0,0,0,0,16.1,1,1,1,1,0,0,1.0,135.0,111.8,4,120.14285714285714,0.7,130
0,1,398.9705882352941,0,0,0,1,0,14.6,1,1,1,2,0,0,0.0,145.0,120.8,4,120.14285714285714,0.8,135
3,0,406.7142857142857,0,0,0,0,0,17.9,1,1,1,0,0,0,0.0,140.0,129.6,4,131.66666666666666,0.8333333333333334,145
2,1,406.6216216216216,0,0,0,0,0,14.7,1,1,1,0,0,0,1.0,151.0,134.0,4,120.14285714285714,0.8666666666666667,140
1,0,403.5405405405405,0,0,0,1,0,17.7,1,1,1,0,0,0,0.0,116.0,140.2,4,122.125,0.9,151
4,0,406.7826086956522,0,0,0,0,0,12.1,1,1,1,1,0,0,0.0,151.0,137.4,4,125.55555555555556,0.9333333333333333,116
0,1,398.9705882352941,0,0,0,0,0,13.8,1,1,1,2,0,0,0.0,153.0,140.6,4,145.41666666666666,0.03333333333333333,151
3,1,406.7142857142857,0,0,0,0,0,13.9,1,1,1,0,0,0,0.0,151.0,142.2,4,134.5,0.06666666666666667,153
2,1,406.6216216216216,0,0,0,0,0,13.5,1,1,1,0,0,0,0.0,171.0,144.4,4,139.08333333333334,0.1,151
1,0,403.5405405405405,0,0,0,0,0,13.8,1,1,1,0,0,0,0.0,134.0,148.4,4,134.5,0.13333333333333333,171
4,0,406.7826086956522,0,0,0,0,0,14.9,1,1,1,1,0,0,1.0,165.0,152.0,4,145.41666666666666,0.16666666666666666,134
0,1,398.9705882352941,0,0,0,1,0,9.1,1,1,1,2,1,0,1.0,155.0,154.8,4,139.08333333333334,0.26666666666666666,165
3,0,406.7142857142857,0,0,1,1,0.5,7.1,1,1,1,0,0,0,1.0,157.0,155.2,4,139.08333333333334,0.3,155
2,0,406.6216216216216,0,0,0,1,0,11.0,1,1,1,0,0,1,0.0,109.0,156.4,4,134.5,0.3333333333333333,157
1,0,403.5405405405405,0,0,0,0,0,12.3,1,1,1,0,0,0,0.0,111.0,144.0,4,139.08333333333334,0.36666666666666664,109
4,1,406.7826086956522,0,0,0,0,0,13.9,1,1,1,1,0,0,0.0,160.0,139.4,4,145.41666666666666,0.4,111
0,0,398.9705882352941,0,0,0,0,0,11.3,1,1,1,2,0,0,1.0,145.0,138.4,4,145.41666666666666,0.5,160
3,0,406.7142857142857,0,2,0,1,0,10.8,1,1,0,0,0,0,1.0,145.0,136.4,4,140.5,0.5333333333333333,145
2,1,406.6216216216216,0,0,0,1,0,7.8,1,1,1,0,0,0,2.0,151.0,134.0,4,139.08333333333334,0.5666666666666667,145
1,0,403.5405405405405,0,0,0,2,0.5,6.8,1,1,1,0,0,0,1.0,134.0,142.4,4,134.5,0.6,151
4,1,406.7826086956522,0,0,0,1,0,8.4,1,1,1,1,0,0,0.0,122.0,147.0,4,145.41666666666666,0.6333333333333333,134
3,0,406.7142857142857,0,0,0,0,0,11.5,1,1,1,0,0,0,0.0,121.0,139.4,4,140.5,0.7666666666666667,122
2,1,406.6216216216216,0,0,0,0,0,8.0,1,1,1,0,0,0,1.0,80.0,134.6,4,139.08333333333334,0.8,121
1,0,403.5405405405405,0,0,0,1,0,7.3,1,1,1,0,0,0,0.0,131.0,121.6,4,145.41666666666666,0.8333333333333334,80
3,0,404.0,0,0,0,0,0,7.3,0,1,1,0,0,0,1.0,128.0,117.6,1,113.3,0.2,131
2,0,462.0,0,0,0,1,0,9.8,0,1,1,0,0,0,1.0,129.0,116.4,1,113.3,0.23333333333333334,128
1,1,435.0,0,0,0,1,0,10.9,0,1,1,0,1,0,0.0,87.0,117.8,1,115.46666666666667,0.26666666666666666,129
4,0,440.0,0,0,1,0,0,5.1,0,1,1,1,0,0,0.0,129.0,111.0,1,113.3,0.3,87
3,1,376.0,0,0,0,0,0,5.8,0,1,1,0,0,1,1.0,134.0,120.8,1,113.3,0.43333333333333335,129
2,0,450.0,0,0,0,1,0,2.9,0,1,1,0,0,0,0.0,107.0,121.4,1,115.28571428571429,0.4666666666666667,134
1,0,415.0,0,0,0,0,0,7.0,0,1,1,0,0,0,0.0,85.0,117.2,1,113.3,0.5,107
4,1,430.0,0,2,0,0,0,7.8,0,1,0,1,0,0,0.0,126.0,108.4,1,116.2,0.5333333333333333,85
0,1,375.0,0,0,0,0,0,6.5,0,1,1,2,0,0,0.0,129.0,116.2,1,113.3,0.6333333333333333,126
3,1,447.0,0,0,0,0,0,10.4,0,1,1,0,0,0,0.0,126.0,116.2,1,115.28571428571429,0.6666666666666666,129
2,1,426.0,0,0,0,0,0,7.4,0,1,1,0,0,0,0.0,107.0,114.6,1,113.3,0.7,126
1,0,400.0,0,0,0,0,0,8.5,0,1,1,0,0,0,0.0,92.0,114.6,1,113.3,0.7333333333333333,107
4,1,418.0,6,0,0,0,0,10.1,0,0,1,1,0,0,0.0,126.0,116.0,1,115.46666666666667,0.7666666666666667,92
0,1,415.0,0,0,0,0,0,5.1,0,1,1,2,0,0,0.0,120.0,116.0,1,116.2,0.8666666666666667,126
3,0,445.0,0,0,0,0,0,12.6,0,1,1,0,0,0,0.0,121.0,114.2,1,116.2,0.9,120
2,1,450.0,0,0,0,0,0,10.3,0,1,1,0,0,0,1.0,105.0,113.2,1,115.46666666666667,0.9333333333333333,121
1,1,448.0,0,0,0,1,0,15.3,0,1,1,0,0,0,0.0,92.0,112.8,1,115.28571428571429,0.9666666666666667,105
4,1,460.0,0,0,0,0,0,14.1,0,1,1,1,0,0,0.0,139.0,112.8,1,115.28571428571429,1.0,92
0,1,445.0,0,0,0,0,0,15.9,0,1,1,2,0,0,2.0,121.0,115.4,1,103.45454545454545,0.06666666666666667,139
3,1,430.0,0,0,0,2,0,3.8,0,1,1,0,0,0,0.0,126.0,115.6,1,109.9375,0.1,121
2,1,420.0,0,0,0,0,0,3.0,0,1,1,0,0,0,1.0,111.0,116.6,1,109.92857142857143,0.13333333333333333,126
1,1,435.0,0,0,0,1,0,4.2,0,1,1,0,0,0,0.0,91.0,117.8,1,109.92857142857143,0.16666666666666666,111
4,1,425.0,0,0,0,0,0,5.5,0,1,1,1,1,0,1.0,137.0,117.6,1,109.92857142857143,0.2,91
0,0,423.0,0,0,1,1,0,7.8,0,1,1,2,0,0,1.0,111.0,117.2,1,103.45454545454545,0.3,137
2,0,415.0,0,0,0,1,0,6.3,0,1,1,0,0,1,1.0,84.0,115.2,1,106.9375,0.36666666666666664,111
1,0,438.0,0,0,0,1,0,6.4,0,1,1,0,0,0,2.0,86.0,106.8,1,109.9375,0.4,84
4,1,432.0,0,0,0,2,0.5,1.2,0,1,1,1,0,0,0.0,137.0,101.8,1,103.45454545454545,0.43333333333333335,86
0,1,416.0,0,0,0,0,0,11.6,0,1,1,2,0,0,0.0,99.0,111.0,1,106.9375,0.5333333333333333,137
3,0,426.0,0,0,0,0,0,6.8,0,1,1,0,0,0,1.0,113.0,103.4,1,103.45454545454545,0.5666666666666667,99
2,0,405.0,0,0,0,1,0,7.3,0,1,1,0,0,0,1.0,85.0,103.8,1,109.92857142857143,0.6,113
1,1,426.0,0,0,0,1,0,5.4,0,1,1,0,0,0,0.0,113.0,104.0,1,109.9375,0.6333333333333333,85
4,0,410.0,5,2,0,0,0,8.5,0,0,0,1,0,0,1.0,129.0,109.4,1,103.45454545454545,0.6666666666666666,113
0,1,408.0,0,0,0,1,0,6.6,0,1,1,2,0,0,0.0,104.0,107.8,1,103.45454545454545,0.7666666666666667,129
3,0,396.0,0,0,0,0,0,10.5,0,1,1,0,0,0,0.0,104.0,108.8,1,103.45454545454545,0.8,104
2,0,384.0,0,0,0,0,0,11.5,0,1,1,0,0,0,2.0,90.0,107.0,1,103.45454545454545,0.8333333333333334,104
1,1,436.0,0,0,0,2,0,8.5,0,1,1,0,0,0,0.0,69.0,108.0,1,106.9375,0.8666666666666667,90
4,0,428.0,0,0,0,0,0,17.7,0,1,1,1,0,0,1.0,131.0,99.2,1,109.92857142857143,0.9,69
0,0,407.0,0,0,0,1,0,7.8,0,1,1,2,0,0,0.0,100.0,99.6,1,88.13333333333334,0.06666666666666667,131
3,1,413.0,0,0,0,0,0,8.3,0,1,1,0,0,0,2.0,110.0,98.8,1,86.85714285714286,0.1,100
2,1,393.0,0,0,0,2,1.5,6.1,0,1,1,0,0,0,0.0,77.0,100.0,1,92.76923076923077,0.13333333333333333,110
1,0,409.0,0,0,0,0,0,6.7,0,1,1,0,0,0,0.0,73.0,97.4,1,88.13333333333334,0.16666666666666666,77
4,1,396.0,0,0,0,0,0,7.0,0,1,1,1,1,0,1.0,123.0,98.2,1,88.13333333333334,0.2,73
0,0,385.0,0,0,1,1,0,7.6,0,1,1,2,0,0,0.0,89.0,96.6,1,92.76923076923077,0.3,123
3,0,397.0,0,0,0,0,0,8.7,0,1,1,0,0,1,0.0,68.0,94.4,1,86.85714285714286,0.3333333333333333,89
2,0,370.0,0,0,0,0,0,14.8,0,1,1,0,0,0,2.0,80.0,86.0,1,92.76923076923077,0.36666666666666664,68
1,1,372.0,0,0,0,2,0.5,15.2,0,1,1,0,0,0,1.0,70.0,86.6,1,89.83333333333333,0.4,80
4,1,360.0,0,2,0,1,0,11.5,0,1,0,1,0,0,0.0,129.0,86.0,1,86.85714285714286,0.43333333333333335,70
0,0,382.0,0,0,0,0,0,14.0,0,1,1,2,0,0,0.0,90.0,87.2,1,86.85714285714286,0.5333333333333333,129
3,1,400.0,0,0,0,0,0,18.9,0,1,1,0,0,0,1.0,72.0,87.4,1,89.83333333333333,0.5666666666666667,90
2,1,392.0,0,0,0,1,0,12.6,0,1,1,0,0,0,2.0,100.0,88.2,1,92.76923076923077,0.6,72
1,1,372.0,0,1,0,2,0.5,7.5,0,1,0,0,0,0,0.0,102.0,92.2,1,88.13333333333334,0.6333333333333333,100
0,0,350.0,0,0,0,0,0,17.4,0,1,1,2,0,0,0.0,77.0,98.6,1,92.76923076923077,0.7666666666666667,102
3,0,407.0,0,0,0,0,0,18.9,0,1,1,0,0,0,1.0,51.0,88.2,1,86.85714285714286,0.8,77
2,0,392.0,0,0,0,1,0,18.7,0,1,1,0,0,0,1.0,55.0,80.4,1,92.76923076923077,0.8333333333333334,51
1,1,315.0,0,0,0,1,1.5,12.4,0,1,1,0,0,0,0.0,106.0,77.0,1,92.76923076923077,0.8666666666666667,55
4,0,406.7826086956522,1,0,0,0,0,18.5,1,0,1,1,0,0,0.0,84.0,78.2,1,86.85714285714286,0.9,106
0,0,349.0,0,0,0,0,0,17.5,0,1,1,2,0,0,1.0,125.0,74.6,1,88.13333333333334,1.0,84
3,1,377.0,0,0,0,1,0,16.1,0,1,1,0,0,0,1.0,99.0,84.2,2,83.25,0.0,125
2,0,380.0,0,0,0,1,0,18.2,0,1,1,0,0,0,2.0,100.0,93.8,2,89.66666666666667,0.03333333333333333,99
1,1,390.0,0,0,0,2,1,14.3,0,1,1,0,0,0,0.0,90.0,102.8,2,83.6470588235294,0.06666666666666667,100
4,1,350.0,0,0,0,0,0,17.8,0,1,1,1,0,0,0.0,107.0,99.6,2,83.6470588235294,0.1,90
0,0,387.0,0,0,0,0,0,13.8,0,1,1,2,0,0,0.0,96.0,104.2,2,86.15789473684211,0.2,107
3,1,353.0,0,0,0,0,0,20.1,0,1,1,0,0,0,0.0,88.0,98.4,2,89.66666666666667,0.23333333333333334,96
2,1,376.0,0,0,0,0,0,19.0,0,1,1,0,1,0,0.0,87.0,96.2,2,83.25,0.26666666666666666,88
1,0,362.0,0,0,1,0,0,21.3,0,1,1,0,0,0,0.0,128.0,93.6,2,89.66666666666667,0.3,87
4,1,406.7826086956522,1,0,0,0,0,16.5,1,0,1,1,0,1,0.0,92.0,101.2,2,83.25,0.3333333333333333,128
0,0,340.0,0,0,0,0,0,16.4,0,1,1,2,0,0,0.0,82.0,98.2,2,83.25,0.43333333333333335,92
3,0,370.0,0,0,0,0,0,19.7,0,1,1,0,0,0,1.0,57.0,95.4,2,83.25,0.4666666666666667,82
2,0,330.0,0,0,0,1,0,21.5,0,1,1,0,0,0,0.0,57.0,89.2,2,89.66666666666667,0.5,57
1,0,333.0,0,0,0,0,0,20.1,0,1,1,0,0,0,1.0,56.0,83.2,2,86.15789473684211,0.5333333333333333,57
4,1,325.0,0,2,0,1,0,11.4,0,1,0,1,0,0,1.0,109.0,68.8,2,83.25,0.5666666666666667,56
0,0,375.0,0,1,0,1,0,16.4,0,1,0,2,0,0,1.0,78.0,72.2,2,83.6470588235294,0.6666666666666666,109
3,1,382.0,0,0,0,1,0,18.8,0,1,1,0,0,0,0.0,63.0,71.4,2,83.25,0.7,78
2,0,340.0,0,0,0,0,0,19.4,0,1,1,0,0,0,0.0,56.0,72.6,2,89.66666666666667,0.7333333333333333,63
1,1,360.0,0,0,0,0,0,19.9,0,1,1,0,0,0,0.0,80.0,72.4,2,83.25,0.7666666666666667,56
4,0,406.7826086956522,1,0,0,0,0,20.8,1,0,1,1,0,0,0.0,54.0,77.2,2,83.6470588235294,0.8,80
0,0,342.0,0,0,0,0,0,22.7,0,1,1,2,0,0,2.0,97.0,66.2,2,89.66666666666667,0.9,54
2,1,368.0,0,0,0,2,0.5,17.5,0,1,1,0,0,0,0.0,64.0,70.0,2,83.25,0.9666666666666667,97
1,0,415.0,0,0,0,0,0,24.0,0,1,1,0,0,0,0.0,47.0,70.2,2,79.5,0.0,64
4,0,420.0,0,0,0,0,0,23.3,0,1,1,1,0,0,0.0,88.0,68.4,2,79.5,0.03333333333333333,47
2,1,415.0,0,0,0,0,0,18.9,0,1,1,0,0,0,1.0,59.0,70.0,2,68.57142857142857,0.2,88
1,0,405.0,0,0,0,1,0,21.0,0,1,1,0,1,0,0.0,58.0,71.0,2,79.5,0.23333333333333334,59
4,1,434.0,0,0,1,0,0,23.4,0,1,1,1,0,0,1.0,73.0,63.2,2,79.5,0.26666666666666666,58
0,0,400.0,0,0,0,1,0,22.7,0,1,1,2,0,1,2.0,70.0,65.0,2,79.5,0.36666666666666664,73
3,1,428.0,0,0,0,2,0,18.6,0,1,1,0,0,0,1.0,64.0,69.6,2,79.5,0.4,70
2,1,430.0,0,0,0,1,0,26.0,0,1,1,0,0,0,1.0,58.0,64.8,2,76.66666666666667,0.43333333333333335,64
1,1,403.0,0,0,0,1,0,19.3,0,1,1,0,0,0,0.0,126.0,64.6,2,72.29411764705883,0.4666666666666667,58
4,0,406.7826086956522,1,2,0,0,0,23.8,1,0,0,1,0,0,1.0,70.0,78.2,2,72.29411764705883,0.5,126
0,1,406.0,0,1,0,1,0,22.8,0,1,0,2,0,0,1.0,71.0,77.6,2,68.57142857142857,0.6,70
3,0,425.0,0,0,0,1,0,23.9,0,1,1,0,0,0,2.0,104.0,77.8,2,72.29411764705883,0.6333333333333333,71
2,1,430.0,0,0,0,2,6,17.4,0,1,1,0,0,0,2.0,54.0,85.8,2,68.57142857142857,0.6666666666666666,104
1,1,428.0,4,0,0,2,0,19.0,0,0,1,0,0,0,1.0,65.0,85.0,2,76.66666666666667,0.7,54
4,0,400.0,0,0,0,1,0,19.8,0,1,1,1,0,0,1.0,77.0,72.8,2,76.66666666666667,0.7333333333333333,65
0,1,430.0,0,0,0,1,0,23.9,0,1,1,2,0,0,1.0,79.0,74.2,2,76.66666666666667,0.8333333333333334,77
3,0,423.0,0,0,0,1,0,23.7,0,1,1,0,0,0,0.0,74.0,75.8,2,68.57142857142857,0.8666666666666667,79
2,1,414.0,0,0,0,0,0,25.7,0,1,1,0,0,0,0.0,64.0,69.8,2,76.66666666666667,0.9,74
1,1,438.0,0,0,0,0,0,26.0,0,1,1,0,0,0,1.0,119.0,71.8,2,68.57142857142857,0.9333333333333333,64
4,0,406.7826086956522,1,0,0,1,0,26.9,1,0,1,1,0,0,1.0,74.0,82.6,2,68.57142857142857,0.9666666666666667,119
0,0,420.0,0,0,0,1,0,30.6,0,1,1,2,0,0,1.0,59.0,82.0,2,66.0,0.03333333333333333,74
3,0,418.0,0,0,0,1,0,27.0,0,1,1,0,0,0,0.0,47.0,78.0,2,71.1875,0.06666666666666667,59
2,0,424.0,0,0,0,0,0,27.5,0,1,1,0,0,0,2.0,64.0,72.6,2,71.1875,0.1,47
1,1,405.0,0,0,0,2,0,21.5,0,1,1,0,0,0,2.0,93.0,72.6,2,66.0,0.13333333333333333,64
4,0,430.0,0,0,0,2,6.5,19.9,0,1,1,1,0,0,2.0,74.0,67.4,2,66.0,0.16666666666666666,93
0,1,417.0,0,0,0,2,0,25.0,0,1,1,2,1,0,1.0,56.0,67.4,2,64.6,0.26666666666666666,74
3,0,426.0,0,0,1,1,0,25.5,0,1,1,0,0,0,2.0,50.0,66.8,2,67.05555555555556,0.3,56
2,1,413.0,0,0,0,2,2.5,22.3,0,1,1,0,0,1,2.0,72.0,67.4,2,71.1875,0.3333333333333333,50
1,1,440.0,0,0,0,2,0.5,21.3,0,1,1,0,0,0,0.0,121.0,69.0,2,64.6,0.36666666666666664,72
4,0,406.7826086956522,1,0,0,0,0,29.5,1,0,1,1,0,0,1.0,76.0,74.6,2,64.6,0.4,121
0,1,440.0,0,0,0,1,0,28.1,0,1,1,2,0,0,1.0,63.0,75.0,2,67.05555555555556,0.5,76
3,0,427.0,0,0,0,1,0,27.6,0,1,1,0,0,0,2.0,66.0,76.4,2,64.6,0.5333333333333333,63
2,1,426.0,4,0,0,2,0,21.9,0,0,1,0,0,0,0.0,56.0,79.6,2,66.0,0.5666666666666667,66
1,0,430.0,0,0,0,0,0,27.5,0,1,1,0,0,0,1.0,57.0,76.4,2,66.0,0.6,56
4,0,407.0,0,0,0,1,0,26.5,0,1,1,1,0,0,1.0,72.0,63.6,2,71.1875,0.6333333333333333,57
0,0,421.0,0,0,0,1,0,26.9,0,1,1,2,0,0,1.0,61.0,62.8,2,66.0,0.7333333333333333,72
3,0,430.0,0,0,0,1,0,23.7,0,1,1,0,0,0,2.0,64.0,62.4,2,71.1875,0.7666666666666667,61
2,1,420.0,0,0,0,2,0,25.2,0,1,1,0,0,0,1.0,49.0,62.0,2,66.0,0.8,64
1,0,414.0,0,0,0,1,0,25.2,0,1,1,0,0,0,2.0,74.0,60.6,2,64.6,0.8333333333333334,49
4,0,406.7826086956522,1,0,0,2,0,25.4,1,0,1,1,0,0,1.0,65.0,64.0,2,67.05555555555556,0.8666666666666667,74
0,0,435.0,0,0,0,1,0,25.5,0,1,1,2,0,0,1.0,54.0,62.6,2,64.6,0.9666666666666667,65
3,0,362.0,0,0,0,1,0,28.3,0,1,1,0,0,0,0.0,50.0,61.2,3,61.6,0.0,54
2,1,363.0,0,0,0,0,0,28.8,0,1,1,0,0,0,1.0,53.0,58.4,3,61.6,0.03333333333333333,50
1,0,412.0,0,0,0,1,0,27.0,0,1,1,0,0,0,2.0,63.0,59.2,3,60.588235294117645,0.06666666666666667,53
4,0,432.0,0,0,0,2,0.5,22.1,0,1,1,1,0,0,2.0,82.0,57.0,3,60.588235294117645,0.1,63
0,1,354.0,0,0,0,2,0.5,24.0,0,1,1,2,0,0,0.0,56.0,60.4,3,61.6,0.2,82
3,0,370.0,0,0,0,0,0,29.7,0,1,1,0,0,0,2.0,54.0,60.8,3,60.588235294117645,0.23333333333333334,56
2,1,388.0,4,0,0,2,0,24.6,0,0,1,0,1,0,1.0,48.0,61.6,3,59.166666666666664,0.26666666666666666,54
1,0,386.0,0,0,1,1,0,28.8,0,1,1,0,0,0,0.0,124.0,60.6,3,64.4375,0.3,48
4,0,406.7826086956522,1,0,0,0,0,33.9,1,0,1,1,0,1,1.0,65.0,72.8,3,59.166666666666664,0.3333333333333333,124
0,1,418.0,0,0,0,1,0,30.9,0,1,1,2,0,0,0.0,51.0,69.4,3,60.588235294117645,0.43333333333333335,65
3,0,324.0,0,0,0,0,0,30.3,0,1,1,0,0,0,0.0,53.0,68.4,3,59.166666666666664,0.4666666666666667,51
2,1,434.0,0,0,0,0,0,30.9,0,1,1,0,0,0,0.0,53.0,68.2,3,64.4375,0.5,53
1,1,418.0,0,2,0,0,0,30.1,0,1,0,0,0,0,1.0,55.0,69.2,3,64.4375,0.5333333333333333,53
4,1,401.0,0,0,0,1,0,25.6,0,1,1,1,0,0,0.0,53.0,55.4,3,61.6,0.5666666666666667,55
3,0,409.0,0,0,0,0,0,30.2,0,1,1,0,0,0,1.0,56.0,53.0,3,64.4375,0.7,53
2,1,355.0,0,0,0,1,0,32.0,0,1,1,0,0,0,1.0,62.0,54.0,3,59.166666666666664,0.7333333333333333,56
1,1,410.0,0,0,0,1,0,32.5,0,1,1,0,0,0,0.0,83.0,55.8,3,61.6,0.7666666666666667,62
4,0,406.7826086956522,1,0,0,0,0,33.6,1,0,1,1,0,0,0.0,65.0,61.8,3,60.588235294117645,0.8,83
0,1,432.0,0,0,0,0,0,28.9,0,1,1,2,0,0,0.0,52.0,63.8,3,61.6,0.9,65
3,0,449.0,0,0,0,0,0,30.4,0,1,1,0,0,0,0.0,58.0,63.6,3,64.4375,0.9333333333333333,52
2,0,441.0,0,0,0,0,0,30.6,0,1,1,0,0,0,0.0,60.0,64.0,3,61.6,0.9666666666666667,58
1,0,386.0,0,0,0,0,0,32.5,0,1,1,0,0,0,1.0,38.0,63.6,3,64.4375,1.0,60
4,0,380.0,0,0,0,1,0,32.7,0,1,1,1,0,0,1.0,75.0,54.6,3,60.46153846153846,0.0,38
0,1,410.0,0,0,0,1,0,32.7,0,1,1,2,0,0,0.0,54.0,56.6,3,56.84615384615385,0.1,75
3,1,400.0,0,0,0,0,0,34.3,0,1,1,0,0,0,0.0,58.0,57.0,3,62.0,0.13333333333333333,54
2,1,410.0,0,0,0,0,0,34.6,0,1,1,0,0,0,0.0,63.0,57.0,3,56.84615384615385,0.16666666666666666,58
1,0,415.0,0,0,0,0,0,32.1,0,1,1,0,1,0,1.0,129.0,57.6,3,62.0,0.2,63
4,0,406.7826086956522,1,0,1,1,0,31.1,1,0,1,1,0,0,0.0,45.0,75.8,3,56.84615384615385,0.23333333333333334,129
0,0,411.0,0,0,0,0,0,32.4,0,1,1,2,0,1,2.0,40.0,69.8,3,56.84615384615385,0.3333333333333333,45
3,1,400.0,0,0,0,2,0,29.4,0,1,1,0,0,0,1.0,56.0,67.0,3,65.23076923076923,0.36666666666666664,40
0,0,396.0,0,0,0,1,0,32.2,0,1,1,2,0,0,0.0,53.0,66.6,3,65.23076923076923,0.5666666666666667,56
3,1,385.0,0,0,0,0,0,33.3,0,1,1,0,0,0,0.0,56.0,64.6,3,60.46153846153846,0.6,53
2,0,423.0,4,2,0,0,0,33.3,0,0,0,0,0,0,1.0,54.0,50.0,3,65.23076923076923,0.6333333333333333,56
1,0,405.0,0,1,0,1,0,33.0,0,1,0,0,0,0,0.0,100.0,51.8,3,62.0,0.6666666666666666,54
4,1,406.7826086956522,1,0,0,0,0,33.1,1,0,1,1,0,0,1.0,55.0,63.8,3,60.46153846153846,0.7,100
0,0,412.0,0,0,0,1,0,26.0,0,1,1,2,0,0,2.0,68.0,63.6,3,56.84615384615385,0.8,55
3,0,400.0,0,0,0,2,0,26.2,0,1,1,0,0,0,1.0,62.0,66.6,3,60.46153846153846,0.8333333333333334,68
2,0,410.0,0,0,0,1,0,21.0,0,1,1,0,0,0,2.0,56.0,67.8,3,65.23076923076923,0.8666666666666667,62
1,0,396.0,0,0,0,2,0,21.6,0,1,1,0,0,0,1.0,39.0,68.2,3,60.46153846153846,0.9,56
4,0,398.0,0,0,0,1,0,25.1,0,1,1,1,0,0,1.0,65.0,56.0,3,65.23076923076923,0.9333333333333333,39
0,1,380.0,0,0,0,1,0,23.4,0,1,1,2,0,0,0.0,68.0,58.0,3,60.0,0.0,65
3,1,440.0,3,0,0,0,0,29.1,0,0,1,0,0,0,1.0,53.0,58.0,3,55.11764705882353,0.03333333333333333,68
2,0,408.0,0,0,0,1,0,26.7,0,1,1,0,0,0,1.0,54.0,56.2,3,51.57142857142857,0.06666666666666667,53
1,1,405.0,0,0,0,1,0,26.5,0,1,1,0,0,0,0.0,43.0,55.8,3,60.0,0.1,54
4,0,380.0,0,0,0,0,0,30.2,0,1,1,1,0,0,1.0,68.0,56.6,3,55.11764705882353,0.13333333333333333,43
0,1,385.0,0,0,0,1,0,23.1,0,1,1,2,0,0,0.0,63.0,57.2,3,51.57142857142857,0.23333333333333334,68
3,0,460.0,0,0,0,0,0,26.8,0,1,1,0,1,0,1.0,54.0,56.2,3,55.11764705882353,0.26666666666666666,63
2,0,450.0,0,0,1,1,0,25.0,0,1,1,0,0,0,1.0,53.0,56.4,3,51.57142857142857,0.3,54
1,0,385.0,0,0,0,1,0,21.9,0,1,1,0,0,1,0.0,115.0,56.2,3,51.57142857142857,0.3333333333333333,53
4,0,406.7826086956522,1,0,0,0,0,27.3,1,0,1,1,0,0,0.0,56.0,70.6,3,51.57142857142857,0.36666666666666664,115
3,0,438.0,0,0,0,0,0,28.8,0,1,1,0,0,0,1.0,49.0,68.2,3,56.11764705882353,0.5,56
2,0,430.0,4,2,0,1,0,25.0,0,0,0,0,0,0,1.0,46.0,65.4,3,60.0,0.5333333333333333,49
1,0,395.0,0,0,0,1,0,24.1,0,1,1,0,0,0,1.0,45.0,63.8,3,51.57142857142857,0.5666666666666667,46
4,0,400.0,0,0,0,1,0,23.6,0,1,1,1,0,0,0.0,29.0,62.2,3,60.0,0.6,45
0,0,395.0,0,0,0,0,0,25.2,0,1,1,2,0,0,1.0,59.0,45.0,3,60.0,0.7,29
2,1,408.0,0,0,0,1,0,24.8,0,1,1,0,0,0,1.0,50.0,45.6,3,60.0,0.7666666666666667,59
1,0,394.0,0,0,0,1,0,25.4,0,1,1,0,0,0,0.0,45.0,45.8,3,60.0,0.8,50
4,0,406.7826086956522,2,1,0,0,0,27.1,1,0,0,1,0,0,0.0,56.0,45.6,3,56.11764705882353,0.8333333333333334,45
0,1,404.0,0,0,0,0,0,26.6,0,1,1,2,0,0,0.0,40.0,47.8,3,56.11764705882353,0.9333333333333333,56
3,0,398.0,0,0,0,0,0,28.1,0,1,1,0,0,0,0.0,86.6231884057971,50.0,3,60.0,0.9666666666666667,40
